B2 化合物,,,-3000,名詞,一般,*,*,*,*,B2 化合物,*,*
B2 構造,,,-2500,名詞,一般,*,*,*,*,B2 構造,*,*
BiF3型,,,-2500,名詞,一般,*,*,*,*,BiF3型,*,*
CsCl型,,,-2500,名詞,一般,*,*,*,*,CsCl型,*,*
Cu₃Au型,,,-3000,名詞,一般,*,*,*,*,Cu₃Au型,*,*
D019 構造,,,-3500,名詞,一般,*,*,*,*,D019 構造,*,*
EAM ポテンシャル,,,-5000,名詞,一般,*,*,*,*,EAM ポテンシャル,*,*
L12 化合物,,,-3500,名詞,一般,*,*,*,*,L12 化合物,*,*
L12 構造,,,-3000,名詞,一般,*,*,*,*,L12 構造,*,*
MD シミュレーション,,,-5500,名詞,一般,*,*,*,*,MD シミュレーション,*,*
Mg 合金,,,-2500,名詞,一般,*,*,*,*,Mg 合金,*,*
NaCl型,,,-2500,名詞,一般,*,*,*,*,NaCl型,*,*
Ni 合金,,,-2500,名詞,一般,*,*,*,*,Ni 合金,*,*
NiAs型,,,-2500,名詞,一般,*,*,*,*,NiAs型,*,*
Ti 合金,,,-2500,名詞,一般,*,*,*,*,Ti 合金,*,*
X 線回折,,,-2500,名詞,一般,*,*,*,*,X 線回折,*,*
_hexagonal 密立,,,-6500,名詞,一般,*,*,*,*,_hexagonal 密立,*,*
coherent 界面,,,-5500,名詞,一般,*,*,*,*,coherent 界面,*,*
incoherent 界面,,,-6500,名詞,一般,*,*,*,*,incoherent 界面,*,*
k 点,,,-1500,名詞,一般,*,*,*,*,k 点,*,*
k 点サンプリング,,,-4500,名詞,一般,*,*,*,*,k 点サンプリング,*,*
metastable,,,-5000,名詞,一般,*,*,*,*,metastable,*,*
stable,,,-3000,名詞,一般,*,*,*,*,stable,*,*
unstable,,,-4000,名詞,一般,*,*,*,*,unstable,*,*
urat 構造,,,-3500,名詞,一般,*,*,*,*,urat 構造,*,*
けい化物,,,-2000,名詞,一般,*,*,*,*,けい化物,*,*
せん断,,,-1500,名詞,一般,*,*,*,*,せん断,*,*
せん断ひずみ,,,-3000,名詞,一般,*,*,*,*,せん断ひずみ,*,*
