t,x,u,dudt,dudx,d2udx2,alpha_true
0.0,0.0,-0.0005584910695015371,-0.0727856112680315,0.08783895412066434,0.0,0.01
0.0,0.02040816326530612,0.0012341406472467147,-0.1418733327838957,0.001029205847611692,-8.507355330759161,0.01
0.0,0.04081632653061224,-0.0005164826675582027,0.039954841772802466,0.016799598709768115,10.052853831250491,0.01
0.0,0.061224489795918366,0.0019198385537678622,-0.15034310745151486,0.026662569892403724,-9.086282655352202,0.01
0.0,0.08163265306122448,0.0005717854913154187,0.0836507056503694,-0.07096526937274297,-0.48124559263217775,0.01
0.0,0.1020408163265306,-0.0009767030532828714,0.12976490237469304,-0.03901228443093597,3.6126381169292654,0.01
0.0,0.12244897959183673,-0.001020552648722784,0.27207016797434597,0.008600150089460286,1.0533804660695683,0.01
0.0,0.14285714285714285,-0.0006256765190191863,0.345348623248057,0.07955190544997494,5.899891559260868,0.01
0.0,0.16326530612244897,0.0022264639002557846,0.12720273172605293,0.15682359709582008,1.6727342220319568,0.01
0.0,0.18367346938775508,0.00577528662774898,0.20443739300675368,0.2964405830658674,12.009730403032682,0.01
0.0,0.2040816326530612,0.01432607953559731,-0.17301237754161963,0.3997692951710745,-1.8835166167223825,0.01
0.0,0.22448979591836732,0.022092400716364265,0.28223522225636644,0.5293217434053439,14.579656543680777,0.01
0.0,0.24489795918367346,0.03593104865418277,0.5275644780690566,1.0396305006954702,35.43060167075162,0.01
0.0,0.26530612244897955,0.06452629870393448,0.10837688459098031,1.6030935624573315,19.788778381910795,0.01
0.0,0.2857142857142857,0.10136343895856365,0.15576390966885065,2.096275970656484,28.543097621606147,0.01
0.0,0.3061224489795918,0.15008858322052565,0.4869433601180766,2.9455796895305832,54.688666828055574,0.01
0.0,0.32653061224489793,0.22159118138838335,0.3921906846044075,3.943051464256797,43.06356709511343,0.01
0.0,0.3469387755102041,0.3110294593126398,0.25949076644778407,4.753514671544992,36.36182721912966,0.01
0.0,0.36734693877551017,0.41561218839021974,-0.02949882682637067,5.414805908170698,28.44471397018953,0.01
0.0,0.3877551020408163,0.5320419453604234,0.13911155050641533,5.88317553695276,17.455509650452626,0.01
0.0,0.4081632653061224,0.6557418021433936,-0.20167229701667308,5.968493816967124,-9.094318209044992,0.01
0.0,0.42857142857142855,0.7756539378896937,-0.41061205351924174,5.437512350891687,-42.9418654663478,0.01
0.0,0.44897959183673464,0.8776810817716257,-0.7063740326369206,4.3720032266219535,-61.47802871208614,0.01
0.0,0.4693877551020408,0.9541030491803857,-0.8881796032947735,2.909134013497091,-81.88315417415042,0.01
0.0,0.4897959183673469,0.9964212455878335,-1.0954411396509358,0.9698278374516733,-108.1688510783005,0.01
0.0,0.5102040816326531,0.9936878588722907,-0.7099910168049611,-1.048969980572035,-89.67333508802267,0.01
0.0,0.5306122448979591,0.9536061443399954,-0.765564371186478,-2.8183605702978514,-83.72694270510709,0.01
