T,D
900.7196235627811,-5.242684074348307e-13
938.2783974015678,4.901081498295006e-13
872.6390867205703,-1.2220211690257984e-12
1163.3802245334514,8.176800161375613e-13
1033.3567179064482,-2.3256411857929603e-13
960.340566705456,-3.7349875228294307e-13
984.8023214576531,7.134229979217799e-13
1178.9133358447261,5.817278164142148e-13
861.3405612464321,-3.608918848867253e-13
1034.491932806719,1.167291905750854e-12
1002.3554715537864,-1.077285473439667e-12
1044.5816941738592,6.25902852320358e-13
807.2440735283362,5.931126882998428e-13
1148.8495635776605,-2.289548868260093e-13
1172.847312993445,4.4982936709309327e-13
1026.0532734356836,-1.244537453799497e-12
1078.6603295507568,9.446596678651835e-13
1168.9997524709183,-6.928055645808316e-14
1082.8954537253594,-5.002099856854865e-13
861.0156171657045,1.0490827279560656e-12
1030.5153440667252,-6.970649290336282e-13
1042.6860185531423,-1.398902749698094e-12
969.6522685209544,-1.5549475850527136e-12
1094.5776942498892,6.345464617860972e-13
1173.746805907606,-1.1547733675592691e-12
1170.2274051627105,1.8729389284267775e-12
980.3357485616528,-2.079725794398707e-12
845.2952183363021,1.6965000845571359e-12
1193.9364795849337,3.8872160498453413e-13
1135.5592345783737,-3.363788999798814e-14
849.8650724813067,-5.448681418497894e-13
1168.336753046949,5.134153736155723e-13
1147.9585448248513,4.165763038551371e-14
1007.5352228504289,1.1075758247867603e-12
1036.5101742979716,1.2255854975948573e-13
959.6010815480521,1.5159854132427765e-13
821.9046555288126,-3.6359276271303435e-13
934.0788966583603,-5.629190178869925e-14
1121.1413794392047,3.558353713740548e-13
801.8528092018412,-1.7101590376613944e-12
933.3996686764576,-1.347543837255047e-12
959.2674774363774,7.445496175906278e-13
1014.9582411751692,1.7595481808670692e-13
1167.9422465651041,-7.049610919787575e-14
938.5383977463845,1.9172750513667402e-14
938.7812807584911,3.4832543843289674e-13
1095.0004992438994,-5.10979980807821e-13
980.8871763559229,-7.760705029206017e-13
889.8419291759928,1.9602696118523099e-13
980.9758064530773,-9.761335991309982e-13
856.3428081519199,4.083158645044913e-13
870.5547946024893,-1.7024837754262258e-12
999.3471090957919,1.032670183707595e-12
967.5701798018192,4.741916531469265e-13
1165.93836042724,3.655698550721602e-13
944.9575596466532,9.835703180930209e-13
1032.2353401112173,1.6730419050814115e-12
1052.905715167812,1.0263276651141573e-12
805.2377826353335,-1.8408636189387637e-12
1065.4149488066842,-1.263940297894284e-12
871.2143867479006,-6.247166384053615e-13
1184.428126987782,1.7725626263874764e-13
859.4650911012452,5.177289096491257e-13
965.8496494908095,-7.242187051137746e-13
834.1398672314575,1.867966427495625e-13
1198.749700738379,-5.627050943017689e-13
1000.878004132497,-6.078714440595773e-13
1038.1540069280175,-1.398018350942911e-12
826.830590955371,-9.232100915684007e-13
1099.9841881596712,-1.3198929466547134e-12
883.9622372382344,-9.757214513434207e-13
1159.2217157762855,1.1508394144420038e-12
882.0558561928028,-9.492557581557637e-13
876.2750882654666,2.6325016277115005e-12
814.619867139238,4.933328714647932e-13
988.8267780439996,1.875566043161048e-13
1025.9364533050466,-8.517991898441237e-13
826.283455771341,7.003325921485522e-13
1110.211046678004,-5.367510078654181e-13
981.315533899211,1.2426808362196667e-13
1009.756107731032,2.5645889174045956e-12
976.3050987752913,-9.406858989413514e-14
960.3052243501304,1.150594163319393e-12
1023.8561325232872,-6.969229733628683e-13
862.096098372285,-3.4912369011522067e-14
872.7712521981084,1.770907721598649e-12
1144.714248405407,-5.522468251797876e-13
1178.4461848534531,1.9488056211434226e-12
949.3237265119012,7.087404940559654e-13
908.2978692574216,-5.621520515080172e-13
1057.5998172956063,6.456415184023099e-13
963.4936684392385,9.739894469698404e-13
810.154542264138,6.218226841344059e-13
862.4610389464762,-1.570147694296334e-12
1086.388891538959,-7.029571276276654e-13
1063.5695767640605,-2.3248270358029697e-13
810.8383970013934,-7.442038456859877e-14
888.7888647731797,6.208480757287029e-13
892.4299186352285,1.7789752536627056e-13
1068.7570974394914,-1.3185637202070246e-12
