elX,elY,V_X_pure,V_Y_pure,r_X_pure,r_Y_pure,a_X3Y,V_X3Y_DFT,V_X3Y_Vegard,r_X3Y_DFT,r_X3Y_Vegard,Omega_X3Y,db_X3Y,a_Y3X,V_Y3X_DFT,V_Y3X_Vegard,r_Y3X_DFT,r_Y3X_Vegard,Omega_Y3X,db_Y3X,a_B2,V_B2_DFT,V_B2_Vegard,r_B2_DFT,r_B2_Vegard,Omega_B2,db_B2
Ag,Al,17.061,16.602,1.5970013792725173,1.582549367713697,4.090204449429549,17.10704741609914,16.94625,1.5984368505592763,1.5934129162684814,0.0094886724850123,VASP,4.084501267268682,17.03558744430204,16.716749999999998,1.5962080679533963,1.5861870970926366,0.019072932495972052,VASP,3.2283091947362603,16.82268734522376,16.8315,1.5895307042427682,1.5898082171776173,-0.0005235810697940927,VASP
Ag,Au,17.061,16.966,1.5970013792725173,1.594031690087204,4.148055081387604,17.84323325123916,17.03725,1.6210446646901306,1.5962599925592937,0.04730712123371781,VASP,4.1484223876016895,17.847973673450443,16.98975,1.6211882066072385,1.594775149574133,0.050514202589822844,VASP,3.289139,17.79166883295,17.0135,1.6194816281993325,1.595517916528,0.045738315628765264,OQMD
Ag,Ba,17.061,50.0,1.5970013792725173,2.285390748670416,4.634392006981845,24.883892015603198,25.295749999999998,1.8111033459293924,1.8210406918500472,-0.016281706784610064,VASP,5.092856269296673,33.02358878296153,41.76525,1.9902694929054197,2.152329832805246,-0.20930465439662085,VASP,4.096244,34.36587919485246,33.5305,2.0168779436265076,2.0004013552027957,0.024914009479502463,OQMD
Ag,Ca,17.061,43.63,1.5970013792725173,2.183897248992819,4.3847178810813805,21.074873433466585,23.70325,1.7135316161039702,1.781994787119562,-0.11088675884249692,VASP,4.848071409282476,28.48702082138555,36.987750000000005,1.894608470200245,2.0669173053549894,-0.22982552814416815,VASP,3.711697200036157,25.567462178886398,30.3455,1.8275376701615405,1.9349447233767225,-0.1574545755091728,VASP
Ag,Cd,17.061,21.58,1.5970013792725173,1.7271137578027125,4.206069717629163,18.602418470775262,18.19075,1.64371657109159,1.6315009537050198,0.022630648586521234,VASP,4.322159682855986,20.185635763622304,20.450249999999997,1.6890841023954544,1.6964328387749064,-0.012939413277475458,VASP,3.3837028991202533,19.37076064356202,19.3205,1.6660422926516847,1.664600103802197,0.0026014152616143176,VASP
Ag,Ce,17.061,34.367,1.5970013792725173,2.016899869469424,4.4753901544902845,22.409528295290865,21.3875,1.7489660069596624,1.7219629561033472,0.04778624408139643,VASP,4.5724447186468336,23.899312016968594,30.0405,1.7868945735584383,1.9284402283106443,-0.20443028521600531,VASP,3.7163102823226257,25.662910257436483,25.714,1.8298090250700159,1.8310224819395395,-0.001986845397974478,VASP
Ag,Co,17.061,11.073,1.5970013792725173,1.3826923611463033,4.015433502315025,16.185917525799454,15.564,1.5692166395168325,1.5488553882470042,0.03995872049598134,VASP,3.6867143195415273,12.527328502953129,12.57,1.4407543922802255,1.4423884058334924,-0.0033947093911592336,VASP,3.06524883175927,14.400156469472826,14.067,1.5092442638920411,1.4975142350291022,0.02368354798271314,VASP
Ag,Cr,17.061,12.008,1.5970013792725173,1.4205636251907152,4.124003420992862,17.534648292620123,15.79775,1.6116453642963682,1.556570788028074,0.10994592854173042,VASP,3.723138653938326,12.902314953929377,13.27125,1.4549888881536672,1.4687269830629879,-0.0277995702040594,VASP,3.2756569148823207,17.57378179159509,14.5345,1.6128434200974855,1.5139231464393383,0.20910810771578583,VASP
Ag,Cu,17.061,11.81,1.5970013792725173,1.412712418206345,4.034699341740045,16.420014678718424,15.74825,1.5767456586831494,1.5549433227303486,0.04265646524016467,VASP,3.776063887180796,13.460401341560027,13.12275,1.4756718745875133,1.4632282657004478,0.02573022739593664,VASP,3.1080172902053955,15.01136838375563,14.435500000000001,1.5303022771653954,1.510478010659865,0.039892513855123116,VASP
Ag,Dy,17.061,31.54,1.5970013792725173,1.960007319637871,3.9999999999491815,15.999999999390178,20.68075,1.5631852835736844,1.7027826841391158,-0.22633366781232891,VASP,4.653390299685007,25.191176411731632,27.920250000000003,1.8185278088211387,1.8819593180098384,-0.09774531346489986,VASP,3.60670508,23.458589679651972,24.3005,1.7758424363923822,1.7968377649158926,-0.03464580236406772,MP
Ag,Er,17.061,30.66,1.5970013792725173,1.9416063353551711,4.114572466780607,17.41462614570038,20.46075,1.6079597820876577,1.6967231285775883,-0.1488764514643705,VASP,4.609280733194331,24.481582591065838,27.26025,1.8012899525201598,1.8670118524959647,-0.10193110514152151,VASP,3.57398062,22.825830289066182,23.860500000000002,1.759729811853637,1.78592675547509,-0.04336328706162148,MP
Ag,Fe,17.061,11.776,1.5970013792725173,1.4113554216028104,4.064691906620455,16.788925692391246,15.73975,1.5884666426927196,1.5546635160452593,0.06665771009013768,VASP,3.7632153966611255,13.323466657535503,13.09725,1.4706507317633282,1.4622798741612533,0.0172720729569568,VASP,3.128053261904715,15.303558291702942,14.4185,1.5401674388597384,1.5098848384397714,0.061383520595272856,VASP
Ag,Ga,17.061,19.58,1.5970013792725173,1.672019581917477,4.118629098231814,17.466185130383895,17.69075,1.6095450987340303,1.6164137842544,-0.012693914594695318,VASP,4.193044227962426,18.43012745751664,18.950249999999997,1.6386262576519295,1.6538982137379903,-0.027446737773029736,VASP,3.3101896015740278,18.135461619196793,18.3205,1.6298463657527413,1.6353707946942393,-0.01010007264011388,VASP
Ag,Ge,17.061,22.634,1.5970013792725173,1.7547862958334142,4.150285582971348,17.872032843396987,18.454250000000002,1.621916336502816,1.639340859302723,-0.03154921801769321,VASP,4.261655915212297,19.3497409271815,21.24075,1.6654394525998097,1.7180155064501683,-0.08902741536049802,VASP,3.355131477149772,18.884201889621284,19.8475,1.6519745098754854,1.6795994887478918,-0.04853498477786703,VASP
Ag,Hf,17.061,22.312,1.5970013792725173,1.7464250978479678,4.231000592722294,18.935172555652937,18.37375,1.6534594653547632,1.6369537074436753,0.03055568708907738,VASP,4.359008553617223,20.706331964686427,20.999250000000004,1.703484505518206,1.7114795919300776,-0.013948976049791123,VASP,3.3999679327086607,19.651443958412546,19.686500000000002,1.6740507480798288,1.6750455983152641,-0.0017807147836058272,VASP
Ag,In,17.061,26.16,1.5970013792725173,1.841548000906085,4.233920849466686,18.974407061670274,19.33575,1.65460069094655,1.6650379543673584,-0.018687816005571404,VASP,4.568832941836043,23.842722498156153,23.88525,1.7854831044688755,1.7865440436408273,-0.0017804922219296947,VASP,3.5128947737211824,21.67531548391113,21.610500000000002,1.7296528203395802,1.7279270443667847,0.002999258874673387,VASP
Ag,Ir,17.061,14.155,1.5970013792725173,1.500630450421227,4.054251424501132,16.659886663624324,16.3345,1.584386540692083,1.5740036869294471,0.019920209594681517,VASP,3.925706449035804,15.124933467171568,14.881499999999999,1.5341516372102595,1.5258764365872026,0.01635812701485526,VASP,3.171832,15.955136839119424,15.608,1.561722886060682,1.5503135720310959,0.022240955863622732,OQMD
Ag,La,17.061,37.168,1.5970013792725173,2.070269390695367,4.527641919455219,23.203645687381144,22.08775,1.769385804468406,1.7405544860981534,0.050521021262063544,VASP,4.866979479983479,28.8216310384598,32.14125,1.9019976746654836,1.9723836077767563,-0.10328219846895191,VASP,3.810218044803915,27.657918511983663,27.1145,1.8760466258779338,1.8636785082650873,0.020041620239490437,VASP
Ag,Mg,17.061,23.24,1.5970013792725173,1.770309384051908,4.158546633975389,17.978967061217034,18.60575,1.625144724841949,1.6438146902855795,-0.03368759328610598,VASP,4.320000213333037,20.15539498598,21.69525,1.6882401896507935,1.7301829045450798,-0.0709765969057744,VASP,3.3322195414480364,18.499961522401208,20.1505,1.6406933025639534,1.688103508609103,-0.08191054701366186,VASP
Ag,Mn,17.061,12.21,1.5970013792725173,1.428485001664581,4.112521575130599,17.388598378042516,15.84825,1.6071583011762736,1.558227631851287,0.09719359412190723,VASP,3.654605413148228,12.202856048830814,13.42275,1.4282063497936537,1.474294676637344,-0.09088256513525074,VASP,3.214425952745112,16.60658305418432,14.6355,1.582694977523858,1.517421797186367,0.13467821763413065,VASP
Ag,Mo,17.061,15.583,1.5970013792725173,1.5494853952179959,4.181737899162778,18.281441421931156,16.6915,1.6342077859541595,1.5853880700406915,0.09525455602738846,VASP,3.980905141263288,15.771953795488542,15.9525,1.5557230830511626,1.5616368481717022,-0.011317737314618905,VASP,3.215206448389115,16.61868273854504,16.322,1.583079272123859,1.573602081594985,0.018176861815037422,VASP
Ag,Nb,17.061,17.978,1.5970013792725173,1.6251155863008009,4.2031411971948565,18.563589128064017,17.29025,1.6425721160801874,1.6041225888773532,0.07364492289377055,VASP,4.161885590701141,18.022308553515437,17.74875,1.626449576846012,1.6181783547943462,0.015412834904736146,VASP,3.316428209411754,18.23819295363255,17.5195,1.6329180847584561,1.611181127072584,0.041022458040043834,VASP
