entry_id,formula,element_A,element_B,lattice_constant,delta_e,stability,volume,natoms
6321,YbSe,Yb,Se,3.716519753510587,-2.106159375,0.00016242500000052118,51.3345,2
5810,SiP,Si,P,3.3446308885373255,0.106576353020031,0.3851241816666664,37.4149,2
18114,SmZn,Sm,Zn,3.6309901752804885,-0.32744836875,0.0,47.8713,2
22472,SiC,Si,C,2.552183187355913,0.53431968375,0.7432248316666671,16.624,2
17859,ZnNi,Zn,Ni,2.8829599198633056,-0.26207291,0.0007012000000005125,23.9616,2
10676,TiAg,Ti,Ag,3.2387889850009777,0.0695339693568684,0.1698064525000004,33.9741,2
17860,ZnNi,Zn,Ni,2.8855203724595255,-0.249743215000001,0.013030894999999515,24.0255,2
6320,YbTe,Yb,Te,3.9993165498973067,-1.67984976666667,1.3494999995256052e-05,63.9672,2
10678,TmAg,Tm,Ag,3.5686003819199104,-0.35077449375,0.0016281999999999686,45.4458,2
17352,UTe,U,Te,3.7446691662547145,-0.439347684166665,0.1379879816666661,52.5098,2
10681,YAg,Y,Ag,3.6268035416970816,-0.34309354125,0.0015580449999999524,47.7059,2
10937,LiBi,Li,Bi,3.6122473811927827,-0.3874247075,0.00017543500000000156,47.1338,2
21452,TcB,Tc,B,2.7286075721519905,0.144658812499999,0.5295237167003392,20.3153,2
17610,LiTl,Li,Tl,3.453124663363398,-0.2332024625,8.75099999999851e-05,41.1753,2
10683,YbAg,Yb,Ag,3.639014949004794,-0.42926611875,0.006614506250000041,48.1894,2
18891,PrTl,Pr,Tl,3.913786404118067,-0.39904937625,0.0016434100000000118,59.9503,2
17612,LuMg,Lu,Mg,3.7310247383945954,-0.0441488020833347,0.0,51.9379,2
19149,MnAu,Mn,Au,3.2130198707480755,-0.0137219018965506,0.07027844155172491,33.1696,2
17360,YbZn,Yb,Zn,3.586598838024517,-0.337538885,0.0006964549999999847,46.1369,2
4566,SiC,Si,C,2.7536854169030143,-0.20822938625,0.0006757616666669963,20.8806,2
13761,TaN,Ta,N,2.789334424980308,-1.25385496767175,0.02790625999999996,21.7021,2
30000,ErIr,Er,Ir,3.385983240033305,-0.887233535,0.00022188000000100683,38.8199,2
18895,PrZn,Pr,Zn,3.6994155395302113,-0.31109255375,0.0,50.629,2
7648,CaSe,Ca,Se,3.7406475091161915,-2.04362863,0.00017020499999986782,52.3408,2
7649,CaTe,Ca,Te,4.025511939307433,-1.66065640166666,5.2392500005327136e-05,65.2324,2
28966,CaPb,Ca,Pb,3.893546196478772,-0.530551455,0.0,59.025,2
30508,HPd,H,Pd,2.584802863748098,-0.0662704860920869,0.03903956500000011,17.2696,2
31023,TiRh,Ti,Rh,3.09439848664955,-0.767789021893133,0.014742577499999965,29.6298,2
31025,VRh,V,Rh,3.000781277998715,-0.360045299999999,0.03174987000000101,27.0211,2
31283,CuAu,Cu,Au,3.1039457214531656,-0.052771855,2.5469999999784554e-05,29.9049,2
10944,NaBi,Na,Bi,3.825923851630351,-0.366483062925824,0.0001283499999999993,56.0027,2
30004,ErMg,Er,Mg,3.7623286088747663,-0.0665641795833349,6.875000000003406e-06,53.2562,2
8386,SiRh,Si,Rh,2.9808933855807944,-0.539796512500001,0.28431601124999994,26.4874,2
19150,MnAu,Mn,Au,3.2134395703394696,-0.0129459318965504,0.07105441155172511,33.1826,2
30264,VFe,V,Fe,2.8671237477998064,-0.124237709999999,0.032777015625000405,23.5689,2
31032,TaRu,Ta,Ru,3.174322504088427,-0.28299528,0.07279751166666798,31.9855,2
21449,TcB,Tc,B,2.7632833920006723,-0.2825209725,0.10234393170034012,21.0997,2
8118,HoAs,Ho,As,3.6469318057822195,-1.52807439916667,3.3249999989992673e-05,48.5046,2
21453,TcB,Tc,B,2.9772012520077573,0.7188635225,1.10372842670034,26.3891,2
8122,HoSe,Ho,Se,3.6018740242843283,-1.72190709166666,0.011145681250004813,46.7289,2
18131,TlSn,Tl,Sn,3.8577087353185817,0.0232570340743989,0.0380021374999997,57.4101,2
17621,LuPd,Lu,Pd,3.4238092367226622,-0.9718324175,0.0005692800000000053,40.1355,2
18903,YbRh,Yb,Rh,3.3378381315177132,-0.536498425,0.005161432500000007,37.1874,2
18904,YbRu,Yb,Ru,3.335137245816045,0.302793785,0.3646894524999996,37.0972,2
17625,LuRh,Lu,Rh,3.3436293868625957,-1.0133319725,0.00045345999999968356,37.3813,2
20443,AgI,Ag,I,3.8341973267793272,0.0174154250358414,0.38847064666666664,56.3668,2
17627,LuRu,Lu,Ru,3.325390309769368,-0.450736697499999,0.00013830999999997484,36.7729,2
18140,SrTl,Sr,Tl,4.060098762430438,-0.4279577375,0.003409326249999789,66.9283,2
17629,LuZn,Lu,Zn,3.483434645730971,-0.3552263975,0.00051768499999999,42.2691,2
17630,NdMg,Nd,Mg,3.880998963384415,-0.114858377083335,8.959999999999524e-05,58.4562,2
19423,TiFe,Ti,Fe,2.9434749969615694,-0.449192511893131,0.0013548600000006794,25.5024,2
22242,ScN,Sc,N,2.7759115583336302,-0.988540790171752,1.032536239999998,21.3903,2
6318,NaH,Na,H,2.961401819575342,-0.246102806517912,0.0025515449999999884,25.9712,2
18896,PrZn,Pr,Zn,3.697509890145059,-0.31002471375,0.0010678399999999866,50.5508,2
18136,YbSn,Yb,Sn,3.777314049832834,-0.720321378425601,3.414500000009646e-05,53.8951,2
30785,NbRh,Nb,Rh,3.1663964066059025,-0.410521275000001,0.0005884449999996599,31.7465,2
19422,VOs,V,Os,3.00931180758264,-0.226330055,0.040700208749999495,27.2522,2
22243,ScP,Sc,P,3.2749651337507517,-1.05654787697997,0.562526055,35.1253,2
28740,LiBi,Li,Bi,3.613784599198209,-0.3876001425,0.0,47.194,2
10705,CdAu,Cd,Au,3.3716412859454885,-0.17990844,0.00543921,38.3287,2
18145,TaTc,Ta,Tc,3.1844098464028554,-0.501043217499999,2.9919999999794555e-05,32.2914,2
27974,TiAl,Ti,Al,3.1829529681463984,-0.435995316893132,0.0001479100000002509,32.2471,2
17380,HfOs,Hf,Os,3.2500307689394674,-0.7081181225,0.0006704699999990904,34.3291,2
18148,TbTl,Tb,Tl,3.783313258231285,-0.0232279698333349,0.026587412583332522,54.1523,2
28744,NaBi,Na,Bi,3.8266660832485977,-0.366611412925824,0.0,56.0353,2
30536,TiHg,Ti,Hg,3.3383526603355014,-0.00718432937626634,0.08672383548078448,37.2046,2
