el1,el2,d_nn_25,d_nn_50,d_nn_75,slope,intercept,R2,max_dev_pct,range,mid_residual
Ag,Pt,2.8332665635566308,2.7789785258990394,2.873483968843397,0.0804348105735318,2.7883589474795905,0.17976999163816842,52.48145008591641,0.09450544294435748,-0.049597826867317174
Al,Dy,3.3497742816513987,3.1095847630242335,3.0081715472034665,-0.6832054688958688,3.4974462650743012,0.9478554634059814,13.541685395725125,0.3416027344479322,-0.04625876760213332
Al,Lu,3.2714648148590104,3.0518700588347465,2.972063846528957,-0.5988019366601093,3.3978672084042922,0.9322589292726204,15.563136451891632,0.29940096833005336,-0.04659618123949105
Al,Np,3.0453738491752538,3.0559646269438394,3.006744605719032,-0.07725848691244545,3.0746569374022648,0.5558309611651654,40.505738318838475,0.04922002122480729,0.019936932997797197
Al,Pr,3.4842680349716777,3.254909926928232,3.1011193193768762,-0.7662974311896045,3.6632478093537313,0.9871997297178096,6.574253235220477,0.38314871559480146,-0.02518916683069694
Al,Sc,3.1348197881519213,2.919980439025822,2.901259123208404,-0.4671213298870369,3.2189137817389004,0.8097000890029873,27.989592248065094,0.23356066494351735,-0.06537267776956002
Al,Y,3.389168734853016,3.118552581654105,3.0116441486058743,-0.7550491724942849,3.550646407951475,0.9410173582387339,14.454486419727921,0.3775245862471417,-0.05456924005022712
Al,Zr,3.0948247396635673,2.931790440447611,2.901469133922417,-0.3867112114823008,3.1693837104190155,0.864279268667556,22.878914764682705,0.19335560574115052,-0.04423766423025377
Ca,Pb,3.4772093485995503,3.3978887768660115,3.5722518397594114,0.1900849823197162,3.387407497248467,0.29631338242993965,48.49720470556967,0.17436306289339987,-0.08456121154231333
Ce,In,3.361018538122335,3.4047425019115614,3.4651125688378768,0.20818806143108018,3.3061971722417183,0.9915478743577016,5.3304699679274865,0.10409403071554157,-0.0055487010456971575
Ce,Pb,3.486066129734489,3.466995006011798,3.4889622340492625,0.005792208629544388,3.477778352283745,0.014720724486192549,62.272083502703744,0.021967228037464537,-0.013679450586719266
Ce,Sn,3.38520441846604,3.42020018934371,3.444224952719677,0.11804106850727193,3.357522652589506,0.9886134537932311,6.196152825137894,0.05902053425363718,0.0036570025005682183
Dy,Ga,3.0156039465805184,3.087429927939539,3.338029082452398,0.6448502717437588,2.824595849785605,0.9070485452978171,18.482137739293584,0.3224251358718795,-0.05959105771794526
Dy,In,3.2576727607315776,3.243913500081647,3.4131718634491235,0.31099820543509027,3.1494202720365716,0.6841105685585673,36.0430488979856,0.16925836336747668,-0.06100587467246976
Er,Ga,2.9922255821809287,3.0640385817833216,3.304213821962495,0.62397647956313,2.8081710888606826,0.911517626788293,17.988096890516868,0.3119882397815661,-0.05612074685892621
Er,In,3.24653017207364,3.2193448919819057,3.379790943299564,0.2665215424518447,3.148627897892447,0.6021113035560278,38.981188145687916,0.16044605131765843,-0.06254377713646342
Fe,Ni,2.493882178644773,2.4485777099996233,2.534717595258296,0.08167083322704581,2.451557078020708,0.22453079742892934,50.86468887558209,0.08613988525867278,-0.04381478463460731
Fe,Pd,2.747086510385958,2.635068486475968,2.63825782701388,-0.21765736674415873,2.782299624664015,0.7280387750595878,34.282389097334196,0.11201802390998994,-0.0384024548159676
Fe,Pt,2.7657689786516877,2.642477333805344,2.652254298640686,-0.22702936002200497,2.800348217043575,0.6858410676924436,35.97664974176386,0.12329164484634347,-0.04435620322722844
Ga,Ho,3.3209071988527468,3.0511781045371227,2.992826622944938,-0.656161151815619,3.449717884686079,0.8784505484048541,21.47618890456541,0.3280805759078089,-0.07045920424114716
Ga,Nd,3.4245969836925516,3.197367522822955,3.099803393657088,-0.649587180070929,3.565382890092996,0.9495535004879082,13.307460048659486,0.3247935900354637,-0.04322177723457621
Gd,In,3.2770913271565227,3.2840198466717356,3.457882013091514,0.36158137186998107,3.1588737097049333,0.7786987447098676,30.778437882688753,0.18079068593499148,-0.05564454896818827
Ge,Ni,2.525078315617161,2.5770750953115433,2.8481207557090165,0.6460848801837101,2.327048948787385,0.8671037510765429,22.602693796807312,0.32304244009185545,-0.07301629356769679
Ge,Pu,3.24397084857661,3.0596166560715985,2.9971180539999587,-0.4937055891533053,3.347087980792709,0.9248762605296394,16.454555523310194,0.2468527945766512,-0.04061853014445793
Ge,U,3.0321626620553612,3.038823386126734,2.9670200538587532,-0.1302852163932181,3.0778113088768917,0.6740342670353359,36.425447984555895,0.07180333226798075,0.026154685446451165
Hg,Tl,3.4296569620371375,3.31073121812679,3.358743775607258,-0.14182637285976205,3.4372905050202767,0.351210288344899,46.79062634710506,0.11892574391034749,-0.05564610046360574
Ho,In,3.257218091071275,3.2275685090015425,3.3985768906969,0.28271759925124934,3.1530956972976147,0.5982097815342332,39.11269568111044,0.1710083816953576,-0.06688598792169698
In,Nd,3.5304454382560984,3.3519222442146104,3.3140673549583295,-0.4327561665955395,3.615189762440782,0.8765175269867131,21.670140623195643,0.21637808329776886,-0.04688943492840192
In,Ni,2.6393142445449724,2.724269969091169,3.127268835251936,0.9759091814139246,2.342329758922397,0.8759563683469476,21.72627997711693,0.48795459070696356,-0.1060143805381899
In,Np,3.239298591022445,3.272664101554993,3.2571876854796837,0.03577818891447538,3.238494364895136,0.28696232066106975,48.794824184504435,0.033365510532548104,0.016280642202619156
In,Pr,3.5598756608952864,3.3768107014767312,3.331967056017286,-0.45581720975600293,3.650793077674435,0.8907854615787082,20.215898098435513,0.22790860487800035,-0.04607377131970258
In,Pu,3.0734000264475823,3.3018924589327177,3.242713916775576,0.3386277806559851,3.036688243723966,0.5096203615010607,41.96652109561534,0.2284924324851354,0.09589032488075899
In,Sm,3.4845161658122636,3.30852179246602,3.2994330730148924,-0.3701661855947461,3.5492401032284318,0.7867364562647923,30.059589519582936,0.18508309279737123,-0.055635217965038564
In,Th,3.503637719104839,3.453657348768114,3.3517073560276707,-0.3038607261543398,3.5882645043773778,0.9624619019751826,11.402070736253927,0.15193036307716845,0.017323207467906165
In,Tm,3.364374184063134,3.2073441354745515,3.2452679864692224,-0.2382123951878256,3.3914349662628815,0.5282491536552869,41.38356561595201,0.15703004858858227,-0.06498463319441727
In,U,3.158124853862573,3.274914035554025,3.3051754871849086,0.2941012666446719,3.0990208255448333,0.8965287300003297,19.614044520048132,0.1470506333223356,0.028842576686855637
La,Pb,3.4913715519137316,3.484426365339172,3.5873869230095554,0.19203074219164595,3.425046242324996,0.696012835012547,35.58182755665596,0.10296055767038359,-0.0366352480816472
La,Sn,3.389291495661298,3.42988235335802,3.5628156129015616,0.34704823448052374,3.287139036733364,0.9137446143980272,17.73862971046658,0.17352411724026373,-0.030780800615606285
La,Tl,3.422724211382579,3.4429532704472114,3.59948625542671,0.3535240880882603,3.311625868374703,0.8345808260423925,25.703845085814038,0.1767620440441311,-0.045434641971621836
Mn,Pt,2.7772460288171263,2.6980519160169987,2.7500945426331254,-0.05430297236800332,2.768948982006419,0.1137970016047819,55.23842399222856,0.07919411280012767,-0.043745579805418267
Nd,Tl,3.3806577218630105,3.3699093969954976,3.52761333417609,0.293911224626155,3.279104538698456,0.6954171318655129,35.60516942055499,0.1577039371805924,-0.05615075401603553
